ID IPEDS Race,IPEDS Race,ID Year,Year,Enrollment,University,ID University,Slug University,share
asian,Asian,2019,2019,7838,New York University,193900,new-york-university,0.156487711
black,Black or African American,2019,2019,3486,New York University,193900,new-york-university,0.069598898
hawaiian,Native Hawaiian or Other Pacific Islanders,2019,2019,49,New York University,193900,new-york-university,0.000978298
hispanic,Hispanic or Latino,2019,2019,6330,New York University,193900,new-york-university,0.126380099
multiracial,Two or More Races,2019,2019,1698,New York University,193900,new-york-university,0.033901012
native,American Indian or Alaska Native,2019,2019,69,New York University,193900,new-york-university,0.001377603
nonresident,Non-resident Alien,2019,2019,15443,New York University,193900,new-york-university,0.308323517
white,White,2019,2019,15174,New York University,193900,new-york-university,0.302952862
asian,Asian,2018,2018,7665,New York University,193900,new-york-university,0.157292073
black,Black or African American,2018,2018,3185,New York University,193900,new-york-university,0.065358807
hawaiian,Native Hawaiian or Other Pacific Islanders,2018,2018,56,New York University,193900,new-york-university,0.001149166
hispanic,Hispanic or Latino,2018,2018,5940,New York University,193900,new-york-university,0.121893661
multiracial,Two or More Races,2018,2018,1744,New York University,193900,new-york-university,0.035788307
native,American Indian or Alaska Native,2018,2018,64,New York University,193900,new-york-university,0.001313332
nonresident,Non-resident Alien,2018,2018,14306,New York University,193900,new-york-university,0.293570828
white,White,2018,2018,15771,New York University,193900,new-york-university,0.323633827
asian,Asian,2017,2017,7738,New York University,193900,new-york-university,0.162116863
black,Black or African American,2017,2017,2842,New York University,193900,new-york-university,0.059542017
hawaiian,Native Hawaiian or Other Pacific Islanders,2017,2017,69,New York University,193900,new-york-university,0.001445601
hispanic,Hispanic or Latino,2017,2017,5395,New York University,193900,new-york-university,0.113029268
multiracial,Two or More Races,2017,2017,1698,New York University,193900,new-york-university,0.035574365
native,American Indian or Alaska Native,2017,2017,58,New York University,193900,new-york-university,0.001215143
nonresident,Non-resident Alien,2017,2017,13735,New York University,193900,new-york-university,0.28775848
white,White,2017,2017,16196,New York University,193900,new-york-university,0.339318263
asian,Asian,2016,2016,7795,New York University,193900,new-york-university,0.165706511
black,Black or African American,2016,2016,2617,New York University,193900,new-york-university,0.055632321
hawaiian,Native Hawaiian or Other Pacific Islanders,2016,2016,64,New York University,193900,new-york-university,0.001360515
hispanic,Hispanic or Latino,2016,2016,4997,New York University,193900,new-york-university,0.106226483
multiracial,Two or More Races,2016,2016,1464,New York University,193900,new-york-university,0.031121787
native,American Indian or Alaska Native,2016,2016,64,New York University,193900,new-york-university,0.001360515
nonresident,Non-resident Alien,2016,2016,13165,New York University,193900,new-york-university,0.279862248
white,White,2016,2016,16875,New York University,193900,new-york-university,0.358729619
asian,Asian,2015,2015,7558,New York University,193900,new-york-university,0.165931195
black,Black or African American,2015,2015,2503,New York University,193900,new-york-university,0.05495181
hawaiian,Native Hawaiian or Other Pacific Islanders,2015,2015,52,New York University,193900,new-york-university,0.001141628
hispanic,Hispanic or Latino,2015,2015,4621,New York University,193900,new-york-university,0.101451184
multiracial,Two or More Races,2015,2015,1361,New York University,193900,new-york-university,0.02987991
native,American Indian or Alaska Native,2015,2015,65,New York University,193900,new-york-university,0.001427035
nonresident,Non-resident Alien,2015,2015,12454,New York University,193900,new-york-university,0.273419834
white,White,2015,2015,16935,New York University,193900,new-york-university,0.371797405
asian,Asian,2014,2014,7314,New York University,193900,new-york-university,0.165613749
black,Black or African American,2014,2014,2374,New York University,193900,new-york-university,0.053755406
hawaiian,Native Hawaiian or Other Pacific Islanders,2014,2014,45,New York University,193900,new-york-university,0.001018953
hispanic,Hispanic or Latino,2014,2014,4267,New York University,193900,new-york-university,0.096619342
multiracial,Two or More Races,2014,2014,1248,New York University,193900,new-york-university,0.02825895
native,American Indian or Alaska Native,2014,2014,94,New York University,193900,new-york-university,0.002128479
nonresident,Non-resident Alien,2014,2014,11495,New York University,193900,new-york-university,0.26028576
white,White,2014,2014,17326,New York University,193900,new-york-university,0.392319362
asian,Asian,2013,2013,6488,New York University,193900,new-york-university,0.166722344
black,Black or African American,2013,2013,2161,New York University,193900,new-york-university,0.055531286
hawaiian,Native Hawaiian or Other Pacific Islanders,2013,2013,54,New York University,193900,new-york-university,0.00138764
hispanic,Hispanic or Latino,2013,2013,3604,New York University,193900,new-york-university,0.092612103
multiracial,Two or More Races,2013,2013,1066,New York University,193900,new-york-university,0.027393036
native,American Indian or Alaska Native,2013,2013,90,New York University,193900,new-york-university,0.002312733
nonresident,Non-resident Alien,2013,2013,8284,New York University,193900,new-york-university,0.212874213
white,White,2013,2013,17168,New York University,193900,new-york-university,0.441166645
asian,Asian,2012,2012,6714,New York University,193900,new-york-university,0.178260408
black,Black or African American,2012,2012,2102,New York University,193900,new-york-university,0.055809261
hawaiian,Native Hawaiian or Other Pacific Islanders,2012,2012,51,New York University,193900,new-york-university,0.001354078
hispanic,Hispanic or Latino,2012,2012,3248,New York University,193900,new-york-university,0.086236194
multiracial,Two or More Races,2012,2012,870,New York University,193900,new-york-university,0.02309898
native,American Indian or Alaska Native,2012,2012,103,New York University,193900,new-york-university,0.002734707
nonresident,Non-resident Alien,2012,2012,6971,New York University,193900,new-york-university,0.1850839
white,White,2012,2012,17605,New York University,193900,new-york-university,0.467422472
