ID Timeframe,Timeframe,ID Year,Year,Median Percent Completed BA,Number Completers BA,University,ID University,Slug University
100%,100%,2019,2019,75,3212,New York University,193900,new-york-university
150%,150%,2019,2019,84,3592,New York University,193900,new-york-university
200%,200%,2019,2019,85,3635,New York University,193900,new-york-university
100%,100%,2018,2018,82,3417,New York University,193900,new-york-university
150%,150%,2018,2018,85,3536,New York University,193900,new-york-university
200%,200%,2018,2018,86,3579,New York University,193900,new-york-university
100%,100%,2017,2017,81,3359,New York University,193900,new-york-university
150%,150%,2017,2017,84,3498,New York University,193900,new-york-university
200%,200%,2017,2017,85,3539,New York University,193900,new-york-university
100%,100%,2016,2016,72,2740,New York University,193900,new-york-university
150%,150%,2016,2016,82,3153,New York University,193900,new-york-university
200%,200%,2016,2016,84,3213,New York University,193900,new-york-university
100%,100%,2015,2015,77,2973,New York University,193900,new-york-university
150%,150%,2015,2015,84,3221,New York University,193900,new-york-university
200%,200%,2015,2015,85,3275,New York University,193900,new-york-university
100%,100%,2014,2014,72,2921,New York University,193900,new-york-university
150%,150%,2014,2014,83,3354,New York University,193900,new-york-university
200%,200%,2014,2014,84,3401,New York University,193900,new-york-university
100%,100%,2013,2013,80,2941,New York University,193900,new-york-university
150%,150%,2013,2013,86,3187,New York University,193900,new-york-university
200%,200%,2013,2013,87,3209,New York University,193900,new-york-university
100%,100%,2012,2012,79,2860,New York University,193900,new-york-university
150%,150%,2012,2012,86,3086,New York University,193900,new-york-university
200%,200%,2012,2012,86,3112,New York University,193900,new-york-university
